job_function,job_count
게임기획,370
애니메이션,292
모델링,266
원화,262
게임개발(모바일),245
이펙트·FX,205
게임개발(클라이언트),196
인터페이스 디자인,193
마케팅,109
게임운영,77
게임AI 개발,76
서버,69
해외 마케팅,65
사업기획(해외),65
사업관리,65
홍보,60
사업기획(국내),58
엔진,54
QA·테스터,51
광고기획,50
영상제작·편집,46
정보·빅데이터 분석,44
프로모션,36
시스템·DB,36
전략기획,34
플랫폼 개발,33
네트워크,33
번역,29
퍼블리싱,28
사무·회계,19
재무,19
보안,19
강사,19
클라우드,18
교육,18
인사,16
회계,16
총무,15
사운드 제작,14
BX·브랜드 디자인,14
플랫폼 디자인,13
경리,12
플랫폼 기획,9
경영분석,9
리서치,7
해외영업,6
법무,6
세무,5
소싱/라이선싱,5
채널링,5
통계,5
주식IR,5
제휴,5
방송,4
구매,3
영업 관리,2
해외지사 관리,2
국내영업,2
기술영업,1
CRM,1
교수,1
E-Sports,1
결제·PG,1
