company_id,logo_url,ceo_name,founded_year,flagship_games,homepage_url
11524987,,고객센터,2017년,"치즈냥이 키우기, 와글와글 용사단, 용사단 키우기, 레전드 오브 킹덤",
11525178,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\10\GJ_CoLogo_11525178.jpg?639216974770000000,박현철,2000년,"라그나로크 온라인, 라그나로크M, 라그나로크 오리진",
11525247,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\11\GJ_CoLogo_11525247.jpg?639213837730000000,"김택진, 박병무",1997년,"리니지, 리니지Ⅱ, AION 등",
11525476,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\11\GJ_CoLogo_11525476.jpg?639231957000000000,김태영,2000년,"뮤 온라인, R2, 샷온라인, 썬 클래식, 뮤 아크엔젤, 뮤 모나크, 뮤:포켓 나이츠",
11525524,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\7\GJ_CoLogo_11525524.jpg?638639080290000000,임춘근,2001년,"건바운드, 라키온, 울프팀, 워스토리, 킹덤스토리",
11525585,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2019\4\GJ_Co_wehr.jpg?638793756090000000,박관호,2000년,"나이트크로우, 미르4, 미르의 전설 2,3 등",
11525759,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\4\GJ_CoLogo_11525759.png?639202730720000000,김동성,2002년,"디지몬슈퍼럼블, 디지몬마스터즈, 디지몬RPG, 베어브릭히어로즈",
11525795,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\10\GJ_Co_sunny.jpg?638961649670000000,김학준,1984년,"로한, 씰M, 씰온라인, ROHAN2, SEAL WHAT THE FUN",
11525887,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\4\GJ_CoLogo_11525887.png?638798035820000000,김환기,1999년,"ASTROKINGS, ASTRONEST",
11526014,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2006\12\1a0967c04951644ac3db68519b7449ab_neo_logo.gif?639064064610000000,윤명진,2001년,"던전앤파이터, 던전앤파이터 모바일, 사이퍼즈, 퍼스트 버서커 : 카잔",
11526067,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2007\8\GJ_Co_wonlee10.jpg?639173120870000000,이종원,2000년,"그랜드체이스, 엘소드, 커츠펠",https://www.kog.co.kr
11526277,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2021\6\GJ_CoLogo_11526277.png?638998447210000000,김건,2000년,마블퓨처파이트/몬스터길들이기/레이븐/레이븐2 外,
11526287,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\2\GJ_CoLogo_11526287.jpg?639173804210000000,김현수,2002년,"Flyff, 라펠즈, 프리프 레거시",
11526423,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2021\8\GJ_CoLogo_11526423.png?639064016060000000,박원범,2003년,"카르페디엠, 기가슬레이브,나이트에이지,모두의산수팡,조선협객전m,천상비m,메틴m",
11526474,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2017\12\GJ_Co_greenmp9.JPG?638729719460000000,오진일,1986년,"Riot Games, SmileGate, Wemade, DaumKakao, Webzen",
11526499,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2006\12\9bda602250e61f491d82d8b08a461819_logos.jpg?638574411320000000,김학규,2003년,"그라나도에스파다, 트리오브세이비어",
11526566,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\6\GJ_CoLogo_11526566.jpg?638550133550000000,남재관,1998년,"서머너즈워, 프로야구시리즈, 낚시의신, 서머너즈워:백년전쟁 등",
11526640,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2007\2\GJ_Co_logickorea.jpg?637274725410000000,남택원,1997년,"붉은보석, 붉은보석2, 로도스도 전기 온라인, 거울전쟁 Series",
11526989,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\6\GJ_CoLogo_11526989.png?638652014000000000,박재숙,2000년,"테일즈런너, 고스트 워, 테일즈런너 RPG",
11526996,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2017\4\GJ_Co_neosky.gif?638907938470000000,"김승철, 배태근",2007년,"P의 거짓,고양이와스프,스컬,브라운더스트2,DJMax,A.V.A,피망포커,피망고스톱",
11527360,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\10\GJ_Co_masangsoft.jpg?638366909260000000,강삼석,2004년,"DK온라인, 에이스온라인, 출조낚시왕, 건즈, 건즈2, 프리스톤테일, 스키드러쉬, 라그하임",
11527454,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\9\GJ_Co_zepetto.jpg?638968253030000000,김지인,2003년,"포인트 블랭크(FPS), Outlaw(모바일)",
11527543,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\10\GJ_Co_mobirix.jpg?639197136460000000,임중수,2007년,"블레이드키우기, 발키리히어로키우기, 던전기사키우기, 관우키우기, 벽돌깨기퀘스트 등",
11527672,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2013\8\GJ_Co_nexonhr.jpg?638537985480000000,강대현·김정욱,1994년,"메이플스토리, 던전앤파이터, 카트라이더, 마비노기",
11527988,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\7\GJ_CoLogo_11527988.png?638992495510000000,구오하이빈,1996년,"라테일, 파이널판타지14",
11530287,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\1\GJ_CoLogo_11530287.png?639167225760000000,유태연,2006년,"하이큐 터치더드림,  탈리온, 쉐도우블러드, 디토랜드",
11530306,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\3\GJ_CoLogo_11530306.png?638411130900000000,송호진,2005년,강남상어 키우기,
11530731,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2021\12\GJ_CoLogo_11530731.png?639093559510000000,이호대,2007년,"로스트소드, 여신의키스, 프리프유니버스, 서먼헌터키우기, 에브리타운, 어비스리움",
11531388,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2025\7\GJ_CoLogo_11531388.png?638894891740000000,유휘동,1998년,"FC Online , FIFA Online 3",
11531526,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\1\GJ_CoLogo_11531526.jpg?639122907050000000,심호규,2008년,천하제일상 거상,
11533035,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\8\GJ_CoLogo_11533035.png?638961365950000000,신재명,2007년,"블레스언리쉬드, 알투비트, C9, 아틀란티카, 이카루스, 로스트사가, 블랙스쿼드, 컴뱃암즈",
