company_id,logo_url
43885377,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\7\GJ_CoLogo_43885377.png
37126660,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\4\GJ_CoLogo_37126660.png
47014609,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\9\GJ_CoLogo_47014609.png
11533347,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2015\4\GJ_Co_me2on.jpg
21464377,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\7\GJ_CoLogo_21464377.png
47616029,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2025\5\GJ_CoLogo_47616029.png
11525178,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\10\GJ_CoLogo_11525178.jpg?639216974770000000
11525247,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\11\GJ_CoLogo_11525247.jpg?639213837730000000
11525476,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\11\GJ_CoLogo_11525476.jpg?639231957000000000
11525524,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\7\GJ_CoLogo_11525524.jpg?638639080290000000
11525585,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2019\4\GJ_Co_wehr.jpg?638793756090000000
11525759,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\4\GJ_CoLogo_11525759.png?639202730720000000
11525795,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\10\GJ_Co_sunny.jpg?638961649670000000
11525887,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2020\4\GJ_CoLogo_11525887.png?638798035820000000
11526014,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2006\12\1a0967c04951644ac3db68519b7449ab_neo_logo.gif?639064064610000000
11526067,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2007\8\GJ_Co_wonlee10.jpg?639173120870000000
11526277,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2021\6\GJ_CoLogo_11526277.png?638998447210000000
11526287,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\2\GJ_CoLogo_11526287.jpg?639173804210000000
11526423,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2021\8\GJ_CoLogo_11526423.png?639064016060000000
11526474,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2017\12\GJ_Co_greenmp9.JPG?638729719460000000
11526499,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2006\12\9bda602250e61f491d82d8b08a461819_logos.jpg?638574411320000000
11526566,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\6\GJ_CoLogo_11526566.jpg?638550133550000000
11526640,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2007\2\GJ_Co_logickorea.jpg?637274725410000000
11526989,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\6\GJ_CoLogo_11526989.png?638652014000000000
11526996,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2017\4\GJ_Co_neosky.gif?638907938470000000
11527360,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\10\GJ_Co_masangsoft.jpg?638366909260000000
11527454,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\9\GJ_Co_zepetto.jpg?638968253030000000
11527543,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2016\10\GJ_Co_mobirix.jpg?639197136460000000
11527672,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2013\8\GJ_Co_nexonhr.jpg?638537985480000000
11527988,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\7\GJ_CoLogo_11527988.png?638992495510000000
