company_id,logo_url
15704099,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\10\GJ_CoLogo_15704099.png
11527672,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2013\8\GJ_Co_nexonhr.jpg
37993507,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\6\GJ_CoLogo_37993507.jpeg
45016144,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\8\GJ_CoLogo_45016144.png
35256454,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2021\8\GJ_CoLogo_35256454.png
29576203,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\6\GJ_CoLogo_29576203.png
45831580,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\11\GJ_CoLogo_45831580.png
29208655,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\5\GJ_CoLogo_29208655.jpg
51976811,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\8\GJ_CoLogo_51976811.png
51607550,//file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51607550.png
