gi_no,categories
284031,원화;애니메이션;게임기획
283918,인터페이스 디자인
282852,게임개발(모바일);게임기획
284482,게임개발(모바일);게임기획
284478,원화
283186,게임개발(모바일);인터페이스 디자인;애니메이션
284020,서버;네트워크
283917,게임개발(모바일);모델링;애니메이션
283140,인터페이스 디자인
284082,게임개발(모바일);원화
283929,게임개발(모바일);모델링
284066,게임개발(모바일);인터페이스 디자인
284467,게임개발(모바일);애니메이션;이펙트·FX;게임기획;서버
284351,게임개발(모바일);게임기획
282107,게임개발(모바일);게임기획;사업기획(국내);사업기획(해외);전략기획
282106,마케팅;홍보;해외 마케팅;프로모션;광고기획
282481,사운드 제작
282105,게임개발(클라이언트);게임개발(모바일);게임기획;엔진
282657,게임기획
282723,사업기획(국내);사업기획(해외);전략기획;사업관리;정보·빅데이터 분석
282984,정보·빅데이터 분석
281900,인사
283141,플랫폼 개발;플랫폼 디자인;서버;시스템·DB;클라우드
283196,사무·회계;재무;경리;인사;총무
281633,마케팅;홍보;해외 마케팅;프로모션;광고기획
283195,애니메이션
283194,게임기획
284468,게임개발(클라이언트);게임기획
283193,게임기획;게임운영
281560,인터페이스 디자인;원화;이펙트·FX
283192,사무·회계;재무;경리;인사;총무
281527,게임기획
283191,사무·회계;재무;경리;인사;총무
283190,인터페이스 디자인;원화;이펙트·FX
283189,인터페이스 디자인;원화;이펙트·FX
281101,인터페이스 디자인;원화;이펙트·FX
283215,게임개발(클라이언트);게임기획;엔진
280947,플랫폼 개발;플랫폼 디자인;서버;시스템·DB;클라우드
283338,영상제작·편집;마케팅;홍보;해외 마케팅;광고기획
283537,게임기획
283572,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX
283747,정보·빅데이터 분석
284118,게임개발(클라이언트);게임개발(모바일);게임기획;엔진
284259,영상제작·편집;마케팅;해외 마케팅;프로모션;광고기획
282100,게임개발(모바일);서버;엔진
282099,게임개발(모바일);서버;네트워크;시스템·DB
283023,게임기획
283546,QA·테스터
284340,인터페이스 디자인
284456,게임개발(모바일);게임기획
284336,게임개발(클라이언트);게임개발(모바일)
281914,애니메이션
281927,게임개발(모바일)
282032,인터페이스 디자인
282431,모델링
282469,모델링
282601,QA·테스터
282893,인터페이스 디자인;애니메이션
282896,게임기획
283165,게임기획
283164,게임개발(모바일)
283759,인터페이스 디자인
284107,게임기획
284106,게임개발(클라이언트)
278624,이펙트·FX
284454,게임기획
281806,게임기획
281809,원화
282916,이펙트·FX
283150,원화
283302,이펙트·FX
283704,애니메이션
283791,원화
283977,인터페이스 디자인
284007,게임기획
284009,게임기획
284393,인터페이스 디자인
284397,이펙트·FX
284400,게임기획
284452,게임개발(클라이언트);게임개발(모바일);모델링;이펙트·FX;플랫폼 개발
282420,게임기획;게임운영
284450,게임기획;QA·테스터
284352,게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크
284353,게임운영
284356,플랫폼 개발;서버;네트워크
284357,게임기획
284358,게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크
284359,사업기획(국내);사업기획(해외);전략기획;사업관리
284362,인터페이스 디자인;원화;애니메이션;이펙트·FX
284363,게임기획
284364,마케팅;홍보;해외 마케팅;프로모션;광고기획
284365,총무;구매
284448,사운드 제작
284447,사업기획(해외);전략기획;사업관리
284445,보안
284437,게임개발(클라이언트)
284423,게임기획;사업기획(국내);정보·빅데이터 분석
282936,마케팅
283472,정보·빅데이터 분석
284083,재무;회계;세무
284288,게임개발(클라이언트)
284314,QA·테스터
284435,재무;회계
284434,원화
284433,애니메이션
284432,게임기획
284431,애니메이션
284430,총무
283316,게임기획
284421,원화;모델링;BX·브랜드 디자인
284419,모델링;애니메이션;영상제작·편집
283938,게임개발(모바일);서버;네트워크
283937,게임개발(모바일);서버;네트워크
283936,게임개발(클라이언트);게임개발(모바일)
283935,게임개발(클라이언트);게임개발(모바일)
283934,서버;네트워크;엔진;시스템·DB;클라우드
283933,서버;네트워크;엔진;보안;클라우드
283932,게임개발(클라이언트);게임개발(모바일);서버;네트워크;시스템·DB
283931,게임개발(클라이언트);게임개발(모바일);서버;네트워크;시스템·DB
283666,게임기획
283665,게임기획
282016,게임개발(클라이언트);게임개발(모바일)
282015,게임개발(클라이언트);게임개발(모바일)
281844,사업기획(국내);전략기획;사업관리
284168,게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;게임기획
284317,인터페이스 디자인
284322,서버
284380,게임개발(클라이언트);게임개발(모바일)
284417,게임운영
284310,사업관리
281847,게임개발(모바일);사업관리;소싱/라이선싱;번역
284411,영상제작·편집;마케팅;홍보;해외 마케팅
284412,게임운영
283955,게임개발(모바일);게임기획
284408,게임개발(클라이언트);사무·회계
284407,게임개발(모바일);인터페이스 디자인;게임기획
284406,재무;회계;경리
284402,모델링
281996,게임기획
281994,원화
281993,게임개발(클라이언트)
282003,원화
282001,게임기획
282000,게임기획
281999,애니메이션
281998,이펙트·FX
281997,게임기획
281992,원화
281986,원화
281984,애니메이션
281983,원화
283133,게임운영;사업기획(국내);사업관리
283261,게임개발(모바일);QA·테스터
283388,애니메이션
283389,게임기획
283390,게임개발(모바일);인터페이스 디자인
283740,게임기획
283807,이펙트·FX
284025,원화
284391,게임개발(클라이언트)
284388,게임기획
284389,게임개발(클라이언트)
284390,이펙트·FX
281732,게임개발(모바일);원화
281771,게임개발(모바일);애니메이션;이펙트·FX
282821,게임개발(모바일);애니메이션
284379,사업기획(해외);사업관리;리서치
284376,모델링;엔진
284374,인사
284371,사업기획(국내)
284370,사업기획(국내)
284368,사무·회계;재무;회계;세무
284377,마케팅;해외 마케팅
284378,사업기획(해외);사업관리;리서치
284375,모델링;엔진
283604,게임개발(모바일);게임기획
284367,애니메이션;이펙트·FX;영상제작·편집
281882,게임운영
283078,게임개발(모바일);인터페이스 디자인;이펙트·FX;게임기획
283559,인터페이스 디자인;원화;애니메이션;이펙트·FX;게임기획
284339,게임개발(모바일);애니메이션;이펙트·FX;게임기획
284337,게임개발(클라이언트);게임개발(모바일)
284335,사업기획(해외);해외 마케팅
283279,애니메이션
283280,모델링
283283,원화
283515,이펙트·FX
283278,모델링;애니메이션;이펙트·FX;엔진
284333,인터페이스 디자인;모델링
282900,게임개발(클라이언트);인터페이스 디자인;원화;애니메이션;게임기획
284319,게임개발(모바일);게임기획
284318,게임개발(모바일);게임기획
284323,사업기획(국내)
284320,애니메이션
284308,게임AI 개발
284306,게임기획
284305,게임기획
284303,QA·테스터
284300,플랫폼 개발
284299,플랫폼 개발
284297,게임기획
284287,인터페이스 디자인
284293,게임기획
284294,인터페이스 디자인
284295,인터페이스 디자인
284296,게임기획
284276,원화
284277,모델링
284278,모델링
284279,모델링
284280,원화
284281,원화
284275,이펙트·FX
284286,영상제작·편집
284285,애니메이션
284274,애니메이션
284284,이펙트·FX
284283,애니메이션
284263,애니메이션
284273,사업기획(해외);사업관리;번역
284266,사업기획(해외);사업관리;번역
284267,사업기획(해외);사업관리;번역
284268,사업기획(해외);사업관리;번역
284269,사업기획(해외);사업관리;번역
284271,사업기획(해외);사업관리;번역
284272,사업기획(해외);사업관리;번역
284265,사업기획(해외);사업관리;번역
284264,사업기획(해외);사업관리;번역
284292,보안
284270,게임기획
283868,원화
284253,게임개발(클라이언트)
281161,게임개발(모바일);인터페이스 디자인;모델링;애니메이션;이펙트·FX
281162,게임개발(모바일);인터페이스 디자인;모델링;애니메이션;이펙트·FX
281168,게임개발(클라이언트);원화;모델링;애니메이션;게임기획
281604,게임AI 개발;모델링;이펙트·FX
281974,게임개발(모바일);모델링;애니메이션;이펙트·FX;게임기획
281975,원화;모델링;애니메이션;이펙트·FX
282887,게임개발(클라이언트);게임개발(모바일);게임기획;서버;네트워크
282906,게임개발(모바일);게임기획
283102,인터페이스 디자인;원화;애니메이션;이펙트·FX
283473,게임개발(모바일);게임기획
283689,서버;네트워크
283691,엔진;시스템·DB
283693,게임기획;엔진;시스템·DB
283947,게임개발(모바일);게임AI 개발;원화;모델링;플랫폼 개발
283970,모델링;애니메이션
283971,게임개발(모바일);게임기획
283973,게임개발(모바일);인터페이스 디자인;게임기획
283974,게임개발(모바일);인터페이스 디자인;게임기획
283975,게임개발(모바일);인터페이스 디자인;게임기획
283238,게임개발(클라이언트)
283255,이펙트·FX;엔진
283250,애니메이션
283246,사업기획(해외);사업관리
283245,게임기획
283244,QA·테스터
283243,모델링
