job_function,job_count
게임기획,366
애니메이션,289
모델링,262
원화,258
게임개발(모바일),239
이펙트·FX,200
게임개발(클라이언트),198
인터페이스 디자인,188
마케팅,106
게임운영,77
게임AI 개발,76
서버,69
사업관리,64
사업기획(해외),64
해외 마케팅,64
홍보,59
사업기획(국내),57
엔진,53
QA·테스터,51
광고기획,48
영상제작·편집,46
정보·빅데이터 분석,44
시스템·DB,36
프로모션,34
네트워크,33
전략기획,33
플랫폼 개발,33
번역,29
퍼블리싱,28
보안,19
사무·회계,19
재무,19
강사,19
클라우드,18
교육,18
회계,16
인사,15
총무,15
사운드 제작,14
BX·브랜드 디자인,14
플랫폼 디자인,13
경리,12
플랫폼 기획,9
경영분석,9
리서치,7
해외영업,6
법무,6
세무,5
소싱/라이선싱,5
채널링,5
통계,5
주식IR,5
방송,4
구매,3
제휴,3
영업 관리,2
해외지사 관리,2
국내영업,2
기술영업,1
CRM,1
교수,1
E-Sports,1
결제·PG,1
