gi_no,title,company_name,company_id,career,education,employment_type,deadline_raw,job_function,job_categories,company_logo_url,company_ceo,company_founded_year,company_flagship_games,company_homepage
284558,[컴투스] UI/UX 디자이너 (3년 이상),주식회사 컴투스,11526566,경력3년↑ ,학력무관,정규직,,게임개발(모바일),게임개발(모바일);인터페이스 디자인;게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\6\GJ_CoLogo_11526566.jpg?638550133550000000,남재관,1998년,"서머너즈워, 프로야구시리즈, 낚시의신, 서머너즈워:백년전쟁 등",
284556,[라이온하트 스튜디오] 채용 담당자 모집,라이온하트스튜디오,27153410,경력6년↑ ,학력무관,정규직,채용시,인사,인사,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2019\2\GJ_Co_lion0510.jpg?638997552230000000,김재영,2018년,오딘: 발할라 라이징,
284554,[KANA] [아트] 3D 배경 모델러,NX3GAMES,21560497,경력5년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);인터페이스 디자인;원화;모델링;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\3\GJ_CoLogo_21560497.jpg?638984564320000000,"최재헌, 최일돈",2017년,"로드나인, AVATARA, 로한M",
284553,[KANA] [아트] 배경 원화,NX3GAMES,21560497,경력3년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);인터페이스 디자인;원화;모델링;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\3\GJ_CoLogo_21560497.jpg?638984564320000000,"최재헌, 최일돈",2017년,"로드나인, AVATARA, 로한M",
284552,[KANA] [아트]3D 캐릭터 모델링,NX3GAMES,21560497,경력5년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;모델링;애니메이션;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\3\GJ_CoLogo_21560497.jpg?638984564320000000,"최재헌, 최일돈",2017년,"로드나인, AVATARA, 로한M",
284551,[기어세컨드] 서버 프로그래머,㈜기어세컨드,35234551,경력1년↑ ,학력무관,정규직,채용시,플랫폼 개발,플랫폼 개발;플랫폼 디자인;서버;시스템·DB;클라우드,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2024\11\GJ_CoLogo_35234551.png?639197088220000000,김민상,2021년,"슬레이어 키우기, 레츠고 레전드!, 프린세스메이커 : 예언의 아이들",
284467,[Project M5] [서버] 서버 프로그래머,NX3GAMES,21560497,경력3년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);애니메이션;이펙트·FX;게임기획;서버,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\3\GJ_CoLogo_21560497.jpg?638984564320000000,"최재헌, 최일돈",2017년,"로드나인, AVATARA, 로한M",
284537,[블루아카이브] 영상 디자이너,㈜넥슨게임즈,13488254,경력무관,학력무관,정규직,채용시,애니메이션,애니메이션,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2022\4\GJ_CoLogo_13488254.png?638749795300000000,박용현,2013년,"히트2, 블루아카이브, 서든어택, V4",
284536,[넥슨코리아] 빈딕투스 디파잉 페이트 3D 캐릭터 모델러 (아르바이트),넥슨,11527672,경력무관,학력무관,아르바이트,채용시,모델링,모델링,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2013\8\GJ_Co_nexonhr.jpg?638537985480000000,강대현·김정욱,1994년,"메이플스토리, 던전앤파이터, 카트라이더, 마비노기",
281809,"[프로젝트 A] 캐릭터 원화, 일러스트 제작",㈜스튜디오비사이드,22209089,경력무관,학력무관,정규직,채용시,원화,원화,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2023\2\GJ_CoLogo_22209089.png?639186032490000000,류금태,2017년,스타세이비어 (https://www.starsavior.com/kr),
284535,[마비노기 모바일] 이펙트 아티스트 모집,데브캣,32636212,경력무관,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);애니메이션;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\4\GJ_CoLogo_32636212.png?639116881870000000,"김동건,정길수",2020년,마비노기모바일,
284530,[메이플스타/MSW] 게임 아티스트,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;애니메이션;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284531,[메이플스타/MSW] 게임 사업PM,스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,6시간 전,사업기획(국내),사업기획(국내);사업기획(해외);전략기획;사업관리,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284532,[메이플스타/MSW] 게임 플레이 프로그래머,스타픽시스튜디오,51773905,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284533,[메이플스타/MSW] 게임 기획자,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,게임기획,게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
