gi_no,title,company_name,company_id,career,education,employment_type,deadline_raw,job_function,job_categories,company_logo_url,company_ceo,company_founded_year,company_flagship_games,company_homepage
283440,[재택] AI 2D 아티스트,하이킥,20354474,경력무관,학력무관,아르바이트,채용시,인터페이스 디자인,인터페이스 디자인;원화;애니메이션,,,,,
900008,[기어세컨드] 2D 스파인 애니메이터 (마감),㈜기어세컨드,35234551,경력무관,학력무관,정규직,마감,애니메이션,애니메이션,,,,,
900006,[기어세컨드] 서버 프로그래머 (마감),㈜기어세컨드,35234551,경력1년↑ ,학력무관,정규직,마감,플랫폼 개발,플랫폼 개발;플랫폼 디자인;서버;시스템·DB;클라우드,,,,,
284362,[스타픽시스튜디오] 게임 아티스트,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;애니메이션;이펙트·FX,,,,,
900013,[NC][Horizon Steel Frontiers] 3D 메카닉/로봇 컨셉 아티스트 모집 (마감),NC,11525247,경력5년↑ ,학력무관,정규직,마감,인터페이스 디자인,인터페이스 디자인;원화;모델링,,,,,
900026,[블루아카이브] 연출 담당자 (마감),㈜넥슨게임즈,13488254,경력무관,학력무관,정규직,마감,애니메이션,애니메이션,,,,,
900041,명조 워더링 웨이브 - 언어 전문가 (한국어) (마감),쿠로게임즈,50734158,경력5년↑ ,학력무관,정규직,마감,번역,번역,,,,,
900001,모바일 게임 기획자(2-6년) (마감),슈퍼센트,36674893,경력2년↑ ,학력무관,정규직,마감,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);게임AI 개발;게임기획,,,,,
281680,[LoreVault][Woochi the Wayfarer] 배경 컨셉 아티스트,㈜넥슨게임즈,13488254,경력3년↑ ,학력무관,정규직,채용시,원화,원화,,,,,
284358,[스타픽시스튜디오] 게임 플레이 프로그래머,스타픽시스튜디오,51773905,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크,,,,,
900063,[Little Devil Inside] 니오스트림인터랙티브 시스템 프로그래머 채용 공고 (마감),㈜니오스트림인터랙티브,18413128,경력3년↑ ,학력무관,정규직,마감,게임개발(클라이언트),게임개발(클라이언트);게임AI 개발,,,,,
900054,[컴투스] 투자전략 담당자 (8-12년) (마감),주식회사 컴투스,11526566,경력7년↑ ,,정규직,마감,재무,재무;주식IR,,,,,
900060,[파빌라] 배경 원화가 외주 모집 (마감),파빌라,46666430,경력무관,학력무관,프리랜서,마감,원화,원화,,,,,
900049,[VO6 TCG] TCG 카드 리드 디자이너 (계약직 후 정규직 검토) (마감),㈜브이오식스,52344115,경력3년↑ ,학력무관,계약직,마감,인터페이스 디자인,인터페이스 디자인;원화,,,,,
900052,[111퍼센트][라이브] 게임 클라이언트 개발자 (마감),111퍼센트㈜,20978266,경력3년↑ ,학력무관,정규직,마감,게임개발(클라이언트),게임개발(클라이언트),,,,,
284365,[스타픽시스튜디오] 경영지원 (총무),스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,총무,총무;구매,,,,,
900059,[트릭컬 파티마] 스파인2D 애니메이터 외주 모집 (마감),㈜에피드게임즈,13320563,경력무관,학력무관,프리랜서,마감,애니메이션,애니메이션,,,,,
283726,[NC][계약직][AION2] 캐릭터 모델러 모집,NC,11525247,경력2년↑ ,학력무관,계약직,~09/07,원화,원화;모델링;애니메이션,,,,,
900045,[메가존] 라그나로크 MMORPG UI/UX 디자이너 (마감),메가존,30827613,경력무관,학력무관,정규직,마감,인터페이스 디자인,인터페이스 디자인;플랫폼 디자인,,,,,
900022,[블루아카이브] 연출 담당자 (마감),㈜넥슨게임즈,13488254,경력무관,학력무관,정규직,마감,애니메이션,애니메이션,,,,,
900035,제너널 아티스트 구인 (마감),㈜슈퍼플래닛,19079176,경력3년↑ ,학력무관,정규직,마감,인터페이스 디자인,인터페이스 디자인;원화;애니메이션;이펙트·FX,,,,,
900024,[LoreVault][Woochi the Wayfarer] 시니어 배경 모델링 아티스트 (마감),㈜넥슨게임즈,13488254,경력8년↑ ,학력무관,정규직,마감,모델링,모델링,,,,,
