gi_no,title,company_name,company_id,career,education,employment_type,deadline_raw,job_function,job_categories
284031,[모노 스튜디오] [서브컬처 프로젝트] 시나리오 기획자 모집 (경력),㈜매드엔진,33649396,경력5년↑ ,학력무관,정규직,~09/30,원화,원화;애니메이션;게임기획
283918,[NX 스튜디오] [Project TAL] UI 디자이너 모집 (계약직),㈜매드엔진,33649396,경력무관,학력무관,계약직,~09/30,인터페이스 디자인,인터페이스 디자인
282852,[NX 스튜디오] [Project TAL] 밸런스 디자이너 모집 (경력),㈜매드엔진,33649396,경력2년↑ ,학력무관,정규직,~09/30,게임개발(모바일),게임개발(모바일);게임기획
284482,’세븐나이츠키우기’  전투/밸런스 기획자 모집,넷마블넥서스,33563803,경력무관,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);게임기획
284478,[나이트 크로우] 배경 컨셉 아티스트 모집 (경력),㈜매드엔진,33649396,경력2년↑ ,학력무관,정규직,~10/01,원화,원화
283186,[모노 스튜디오][서브컬처 프로젝트] 2D 스파인 애니메이터 모집 (경력),㈜매드엔진,33649396,경력3년↑ ,학력무관,정규직,~09/30,게임개발(모바일),게임개발(모바일);인터페이스 디자인;애니메이션
284020,[모노 스튜디오][서브컬처 프로젝트] 서버 프로그래머 모집 (경력),㈜매드엔진,33649396,경력8년↑ ,학력무관,정규직,~09/30,서버,서버;네트워크
283917,[NX 스튜디오] [Project TAL] 시니어 애니메이터 모집 (경력),㈜매드엔진,33649396,경력5년↑ ,학력무관,정규직,~09/30,게임개발(모바일),게임개발(모바일);모델링;애니메이션
283140,[NX 스튜디오] [Project TAL] UI 디자이너 모집 (경력),㈜매드엔진,33649396,경력5년↑ ,학력무관,정규직,~09/30,인터페이스 디자인,인터페이스 디자인
284082,[NX 스튜디오] [Project TAL] 캐릭터 컨셉 아티스트 모집,㈜매드엔진,33649396,경력5년↑ ,학력무관,정규직,~09/30,게임개발(모바일),게임개발(모바일);원화
283929,[NX 스튜디오] [Project TAL] 캐릭터 모델러(극 실사) 모집 (경력),㈜매드엔진,33649396,경력10년↑ ,학력무관,정규직,~09/30,게임개발(모바일),게임개발(모바일);모델링
284066,[나이트 크로우 W][MMORPG] UI 디자이너 모집 (계약직),㈜매드엔진,33649396,경력무관,학력무관,계약직,~09/30,게임개발(모바일),게임개발(모바일);인터페이스 디자인
284467,[Project M5] [서버] 서버 프로그래머,NX3GAMES,21560497,경력3년↑ ,학력무관,정규직,채용시,게임개발(모바일),게임개발(모바일);애니메이션;이펙트·FX;게임기획;서버
