gi_no,title,company_name,company_id,career,education,employment_type,deadline_raw,job_function,job_categories,company_logo_url,company_ceo,company_founded_year,company_flagship_games,company_homepage
284530,[메이플스타/MSW] 게임 아티스트,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,인터페이스 디자인,인터페이스 디자인;원화;애니메이션;이펙트·FX,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284531,[메이플스타/MSW] 게임 사업PM,스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,,사업기획(국내),사업기획(국내);사업기획(해외);전략기획;사업관리,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284532,[메이플스타/MSW] 게임 플레이 프로그래머,스타픽시스튜디오,51773905,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284533,[메이플스타/MSW] 게임 기획자,스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,게임기획,게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284534,[메이플스타/MSW] Full-stack 엔지니어,스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,플랫폼 개발,플랫폼 개발;서버;네트워크,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284529,[메이플스타/MSW] 게임 기획 Lead,스타픽시스튜디오,51773905,경력5년↑ ,학력무관,정규직,채용시,게임기획,게임기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284528,[메이플스타/MSW] 커뮤니티 매니저 (콘텐츠·영상),스타픽시스튜디오,51773905,경력2년↑ ,학력무관,정규직,채용시,마케팅,마케팅;홍보;해외 마케팅;프로모션;광고기획,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284527,[스타픽시스튜디오] 경영지원 (총무),스타픽시스튜디오,51773905,경력3년↑ ,학력무관,정규직,채용시,총무,총무;구매,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284352,[메이플스타/MSW] UI 컨텐츠 프로그래머,스타픽시스튜디오,51773905,신입,학력무관,정규직,채용시,게임개발(클라이언트),게임개발(클라이언트);게임개발(모바일);인터페이스 디자인;서버;네트워크,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
284353,[메이플스타/MSW] 게임 서비스 운영 직군,스타픽시스튜디오,51773905,경력무관,학력무관,정규직,채용시,게임운영,게임운영,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\6\GJ_CoLogo_51773905.png?639178157380000000,성주원,2025년,메이플스타,
283279,[Project ZETA] 3D 캐릭터 애니메이터 모집,너바나나,37626343,경력5년↑ ,학력무관,정규직,채용시,애니메이션,애니메이션,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\8\GJ_CoLogo_37626343.png?639215425290000000,김남석,2022년,ZETA,
283280,[Project ZETA] 3D 캐릭터 모델러 모집,너바나나,37626343,경력5년↑ ,학력무관,정규직,채용시,모델링,모델링,https://file.gamejob.co.kr/net/Corp/CoImage/LogoView?FN=2026\8\GJ_CoLogo_37626343.png?639215425290000000,김남석,2022년,ZETA,
